"태양광발전시설명","소재지도로명주소","가동상태구분명","설비용량(kw)","공급전압(V)","주파수(Hz)","설치연도","데이터기준일자"
"송은 태양광발전소","서울시 성북구 정릉로52길 8-9(돈암동 2-1)","가동중","27.2","380","60","2015","2022-12-02"
"이창기업 태양광발전소","서울시 송파구 중대로239(오금동49-7)","가동중","20","220","60","2015","2022-12-02"
"이고남 태양광발전소","서울시 중랑구 봉우재로 72(면목동134-6)","가동중","20","380","60","2015","2022-12-02"
"제1호서울시민햇빛발전소(지축차량기지 2호기)","경기도 고양시 삼송로 300(지축동 818-64) 지축차량기지","가동중","1992","","60","2015","2022-12-02"
"제1호서울시민햇빛발전소(도봉차량기지 2호기)","경기도 의정부시 서계로 42(장암동 153) 도봉차량기지","가동중","648","","60","2015","2022-12-02"
"우리 태양광발전소","서울시 도봉구 도봉로169나길 24(도봉동 593-70)","가동중","9","380","60","2015","2022-12-02"
"백석 태양광발전소","서울시 도봉구 해등로 26길 25(쌍문동 217)","가동중","19.2","380","60","2015","2022-12-02"
"영보 태양광발전소","서울시 은평구 은평로 25(신사동 20-4)","가동중","14.25","380","60","2015","2022-12-02"
"효제동 태양광발전소","서울시 종로구 종로35가길 7-17(효제동 211)","가동중","18","380","60","2015","2022-12-02"
"이큐빅 태양광발전소","서울시 서대문구 연세로7안길 31(창천동 52-76)","가동중","1","220","60","2015","2022-12-02"
"개화 차량기지 태양광발전소","서울시 강서구 개화동로8길 38(개화동 495-4)","가동중","998.4","22900","60","2015","2022-12-02"
"고덕 차량기지 태양광발전소","서울시 강동구 아리수로87길 32(강일동 227-1)","가동중","612","22900","60","2015","2022-12-02"
"동국 태양광발전소","서울시 강북구 한천로131길 36(번동418-10,418-16)","가동중","16.8","380","60","2016","2022-12-02"
"DH 르네상스 태양광발전소","서울시 성북구 동소문로20나길 39,35(동선동1가 92-20, 2)","가동중","17.69","380","60","2015","2022-12-02"
"건국대학교 제3호 태양광발전소","서울시 광진구 능동로 120(화양동 1, 건국대학교 공학관,과학관,창의관)","가동중","399.6","22900","60","2015","2022-12-02"
